colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada,aprox_por_cp
PRADOS  GUADALUPE,G ROSSINI,428,45030,zapopan,20.6686559,-103.4349445,OK,"G ROSSINI 428, PRADOS  GUADALUPE, 45030, zapopan, México",0
NUEVO MEXICO,COPALITA,2711,45138,zapopan,20.7647237,-103.4396973,OK,"COPALITA 2711, NUEVO MEXICO, 45138, zapopan, México",0
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,20.7595336,-103.3334617,OK,"AV VISTA HERMO 3763, VISTA HERMOSA, 45189, zapopan, México",0
OBLATOS PONIENTE,HACIENDA LA PUR,2415,44700,Guadalajara,20.6958496,-103.2980962,OK,"HACIENDA LA PUR 2415, OBLATOS PONIENTE, 44700, Guadalajara, México",0
SAN ANDRES,CALLE B,165,44810,Guadalajara,20.6513248,-103.2983414,OK,"CALLE B 165, SAN ANDRES, 44810, Guadalajara, México",0
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,20.6731521,-103.3081996,ZERO_RESULTS,"FELIX BERNARDEL 428, SAN JUAN BOSCO, 44730, Guadalajara, México",1
VICTOR HUGO,PRIVADA COLON,150,45190,zapopan,20.7212215,-103.3545682,OK,"PRIVADA COLON 150, VICTOR HUGO, 45190, zapopan, México",0
BOSQUE ESCONDIDO,PASEO DE LOS AL,10,45180,zapopan,20.7207014,-103.3709969,OK,"PASEO DE LOS AL 10, BOSQUE ESCONDIDO, 45180, zapopan, México",0
PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,20.6255231,-103.3340945,OK,"FUNDICION 2131, PARQUE INDUST EL ALA, 44490, Guadalajara, México",0
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,20.6508689,-103.4549679,OK,"GALEANA 1068, PARAISOS DEL COLLY, 45069, zapopan, México",0
