colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada,aprox_por_cp
SAN MARCOS,CANTERA,819,44330,Guadalajara,20.6966917,-103.3150026,OK,"CANTERA 819, SAN MARCOS, 44330, Guadalajara, México",0
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,20.6611419,-103.2904612,OK,"AVELINO M PRESA 3335, SAN ANDRES, 44810, Guadalajara, México",0
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,20.7140427,-103.3175821,ZERO_RESULTS,"LISBOA 28, U H FOVISSSTE ESTADI, 44307, Guadalajara, México",1
VILLA FONTANA DIAMANTE,AV LAS TORRES,1896,45200,zapopan,20.7793015,-103.4709142,OK,"AV LAS TORRES 1896, VILLA FONTANA DIAMANTE, 45200, zapopan, México",0
TRANSITO,AV CIRCUNVALANC,479,44298,Guadalajara,20.705717,-103.3399585,ZERO_RESULTS,"AV CIRCUNVALANC 479, TRANSITO, 44298, Guadalajara, México",1
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,20.7303804,-103.3977222,OK,"LA VILLA 455, HDA SAN ISIDRO, 45147, zapopan, México",0
EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,zapopan,20.631308,-103.4017099,OK,"PEDRO MORENO 3205, EJIDAL LOMA BONITA, 45085, zapopan, México",0
MESA COLORADA PTE,NABO,543,45189,zapopan,20.7630106,-103.346334,OK,"NABO 543, MESA COLORADA PTE, 45189, zapopan, México",0
ARENALES TAPATIOS,AV GUADALUPE,132,45066,zapopan,20.6365725,-103.4603705,OK,"AV GUADALUPE 132, ARENALES TAPATIOS, 45066, zapopan, México",0
TABACHINES,PASEO DE LOS CH,3040,45188,zapopan,20.7408232,-103.3687889,OK,"PASEO DE LOS CH 3040, TABACHINES, 45188, zapopan, México",0
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,20.714497,-103.3376018,OK,"ASTURIAS 1581, SANTA ELENA, 44230, Guadalajara, México",0
LOMAS DEL CENTINELA,PASEO DEL OLMO,328,45187,zapopan,20.7553425,-103.3792621,OK,"PASEO DEL OLMO 328, LOMAS DEL CENTINELA, 45187, zapopan, México",0
OBLATOS PONIENTE,HDA LAS CRUCES,2158,44700,Guadalajara,20.6958496,-103.2980962,OK,"HDA LAS CRUCES 2158, OBLATOS PONIENTE, 44700, Guadalajara, México",0
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,20.6615108,-103.2837726,OK,"SALVADOR LOPEZ 1750, LA AURORA, 44790, Guadalajara, México",0
LOMAS DE MIRAMAR,URANIO,31,45060,zapopan,20.6391341,-103.4439519,ZERO_RESULTS,"URANIO 31, LOMAS DE MIRAMAR, 45060, zapopan, México",1
FRACC MIRADOR D SN I,AV INDUSTRIA TE,2030,45133,zapopan,20.7539705,-103.3896942,OK,"AV INDUSTRIA TE 2030, FRACC MIRADOR D SN I, 45133, zapopan, México",0
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,20.6372977,-103.3783132,OK,"ISLA ABACO 3086, RESIDENCIAL LA CRUZ, 44950, Guadalajara, México",0
FRACC PALERMO,MARINA,204,45200,zapopan,20.8156952,-103.4614959,OK,"MARINA 204, FRACC PALERMO, 45200, zapopan, México",0
JARDINES D NVO MEXIC,SEXTA PTE,535,45138,zapopan,20.7693541,-103.453446,OK,"SEXTA PTE 535, JARDINES D NVO MEXIC, 45138, zapopan, México",0
VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,20.6753011,-103.3981559,OK,"EUCLIDES 3302, VALLARTA SAN JORGE, 44690, Guadalajara, México",0
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,zapopan,20.6024902,-103.4469054,OK,"PASEO DE LA VIC 4952, BUGAMBILIAS, 45238, zapopan, México",0
LOMAS DE MIRAMAR,PUERTO TAMPICO,80,45060,zapopan,20.6401759,-103.4491199,OK,"PUERTO TAMPICO 80, LOMAS DE MIRAMAR, 45060, zapopan, México",0
REAL DE VALDEPE?S,ALAMBIQUE,51,45130,zapopan,20.7561115,-103.4015168,OK,"ALAMBIQUE 51, REAL DE VALDEPE?S, 45130, zapopan, México",0
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,20.6155611,-103.3527505,OK,"JOSE JARAMILLO 526, MIRAVALLE, 44990, Guadalajara, México",0
SANTA MARIA,SAN MATEO,1407,44350,Guadalajara,20.6879833,-103.3157372,OK,"SAN MATEO 1407, SANTA MARIA, 44350, Guadalajara, México",0
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,20.6683939,-103.3633498,OK,"MEXICALLTZINGO 1944, AMERICANA, 44160, Guadalajara, México",0
VALLE REAL,AV RAMON CORONA,2748,45019,zapopan,20.7350169,-103.4591247,OK,"AV RAMON CORONA 2748, VALLE REAL, 45019, zapopan, México",0
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,20.7595336,-103.3334617,OK,"AV VISTA HERMO 3763, VISTA HERMOSA, 45189, zapopan, México",0
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,20.7069491,-103.4540669,OK,"MIGUEL MIRAMON 13, SAN JUAN DE OCOTAN, 45019, zapopan, México",0
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,zapopan,20.655508,-103.4356686,OK,"MISION SAN PATR 350, RESIDENCIAL GUADALUP, 45030, zapopan, México",0
COLINAS D LA PRIMAVE,CASCADA,147,45066,zapopan,20.6372165,-103.470043,OK,"CASCADA 147, COLINAS D LA PRIMAVE, 45066, zapopan, México",0
FRACC CUSPIDE,VALLE DE TESIST,198,45200,zapopan,20.7957228,-103.4798676,OK,"VALLE DE TESIST 198, FRACC CUSPIDE, 45200, zapopan, México",0
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,20.6225824,-103.3572848,ZERO_RESULTS,"CARLOS A CARRIL 527, 1RO DE MAYO 1A SECCI, 44970, Guadalajara, México",1
DIVISION DEL NORTE,TERUEL,3693,44230,Guadalajara,20.7217932,-103.3379969,OK,"TERUEL 3693, DIVISION DEL NORTE, 44230, Guadalajara, México",0
CIUDAD DEL SOL,QUETZALCOATL,232,45050,zapopan,20.6494332,-103.4073144,OK,"QUETZALCOATL 232, CIUDAD DEL SOL, 45050, zapopan, México",0
VIGIA I,HERRADURA,242,45140,zapopan,20.7327359,-103.3937991,OK,"HERRADURA 242, VIGIA I, 45140, zapopan, México",0
RINCONADA DE HUENTITAN,JUAN CARRASCO,5234,44250,Guadalajara,20.7334817,-103.3218215,OK,"JUAN CARRASCO 5234, RINCONADA DE HUENTITAN, 44250, Guadalajara, México",0
VILLA UNIVESITARIA,AV PATRIA,1446,45110,zapopan,20.697359,-103.4155674,OK,"AV PATRIA 1446, VILLA UNIVESITARIA, 45110, zapopan, México",0
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,20.6800329,-103.3822859,OK,"AVENIDA MEXICO 2582, LADRON DE GUEVARA, 44600, Guadalajara, México",0
PARQUE REVOLUCION,AV MIGUEL HIDAL,469,44100,Guadalajara,20.6771079,-103.3492079,OK,"AV MIGUEL HIDAL 469, PARQUE REVOLUCION, 44100, Guadalajara, México",0
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,20.6191343,-103.3630249,OK,"CANUTO ELIAS 3414, VALENTIN GOMEZ FARIA, 44977, Guadalajara, México",0
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,20.6875675,-103.3729412,OK,"AVENIDA AMERICA 620, LADRON DE GUEVARA, 44600, Guadalajara, México",0
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,20.6847872,-103.3218364,OK,"JOSE LUIS MORA 1212, UNIDAD BELISARIO DOM, 44329, Guadalajara, México",0
MIRAVALLE II,PEDRO PATINO,643,44990,Guadalajara,20.6171935,-103.3515091,ZERO_RESULTS,"PEDRO PATINO 643, MIRAVALLE II, 44990, Guadalajara, México",1
PENAL,PEDRO CELESTINO,482,44730,Guadalajara,20.6676605,-103.3011651,OK,"PEDRO CELESTINO 482, PENAL, 44730, Guadalajara, México",0
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,20.6375951,-103.3810856,OK,"ISLA ASENCION 3108, JARDINES DE LA CRUZ, 44950, Guadalajara, México",0
EL MANANTIAL S REFOR,AVDE LA PATRIA,202,44470,Guadalajara,20.6220647,-103.3430786,OK,"AVDE LA PATRIA 202, EL MANANTIAL S REFOR, 44470, Guadalajara, México",0
LA PALMITA,MANUEL GONZALEZ,518,45180,zapopan,20.7299998,-103.3587965,OK,"MANUEL GONZALEZ 518, LA PALMITA, 45180, zapopan, México",0
REAL DE TESISTAN,PASEO DE LA ARB,176,45200,zapopan,20.7826297,-103.4722075,OK,"PASEO DE LA ARB 176, REAL DE TESISTAN, 45200, zapopan, México",0
LA LOMA,LUIS PAEZ BROTC,1574,44410,Guadalajara,20.6606419,-103.3218702,OK,"LUIS PAEZ BROTC 1574, LA LOMA, 44410, Guadalajara, México",0
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,20.6256839,-103.3666996,OK,"JOSE ARTEAGA 2985, ECHEVERRIA, 44970, Guadalajara, México",0
NUEVO MEXICO,6 DE ENERO,3239,45138,zapopan,20.7576114,-103.4332169,OK,"6 DE ENERO 3239, NUEVO MEXICO, 45138, zapopan, México",0
