colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada,aprox_por_cp
INF LA TUZANIA,AV DE LAS PALME,1246,45138,zapopan,20.7344508,-103.4162516,OK,"AV DE LAS PALME 1246, INF LA TUZANIA, 45138, zapopan, México",0
EL BATAN,ALCALDE,288,45190,zapopan,20.7208648,-103.3458239,OK,"ALCALDE 288, EL BATAN, 45190, zapopan, México",0
MARAVILLA,HACIENDA DE GUA,1124,44700,Guadalajara,20.70084,-103.30447,OK,"HACIENDA DE GUA 1124, MARAVILLA, 44700, Guadalajara, México",0
COLINAS D LA PRIMAVE,CASCADA,147,45066,zapopan,20.6372165,-103.470043,OK,"CASCADA 147, COLINAS D LA PRIMAVE, 45066, zapopan, México",0
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,20.6875675,-103.3729412,OK,"AVENIDA AMERICA 620, LADRON DE GUEVARA, 44600, Guadalajara, México",0
SAN ANDRES,CALLE B,165,44810,Guadalajara,20.6513248,-103.2983414,OK,"CALLE B 165, SAN ANDRES, 44810, Guadalajara, México",0
EJIDAL LOMA BONITA,PEDRO MORENO,3308,45085,zapopan,20.6318701,-103.4051802,OK,"PEDRO MORENO 3308, EJIDAL LOMA BONITA, 45085, zapopan, México",0
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,20.7070511,-103.3601728,ZERO_RESULTS,"ENRIQUE DIAZ DE 2336, JARDINES DEL COUNTRY, 44210, Guadalajara, México",1
LOMAS DEL PARADERO,LUIS QUINTANAR,746,44840,Guadalajara,20.6501203,-103.3200361,OK,"LUIS QUINTANAR 746, LOMAS DEL PARADERO, 44840, Guadalajara, México",0
FRACC JARDINES DE BELEN,TORONJA,41,45200,zapopan,20.8127107,-103.482546,OK,"TORONJA 41, FRACC JARDINES DE BELEN, 45200, zapopan, México",0
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,20.7021367,-103.3110864,OK,"PUERTO SOTO LA 2280, SAN VICENTE, 44330, Guadalajara, México",0
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,20.6517437,-103.4136118,ZERO_RESULTS,"PRADO DE LAS GA 4468, PRADOS TEPEYAC, 45050, zapopan, México",1
LOMAS DE POLANCO,JOSE CARRILLO,3528,44960,Guadalajara,20.6307928,-103.3795393,OK,"JOSE CARRILLO 3528, LOMAS DE POLANCO, 44960, Guadalajara, México",0
LAS AGUILAS,RIO TOMATLAN,800,45080,zapopan,20.6259866,-103.4079802,OK,"RIO TOMATLAN 800, LAS AGUILAS, 45080, zapopan, México",0
OBLATOS PONIENTE,HDA LAS CRUCES,2158,44700,Guadalajara,20.6958496,-103.2980962,OK,"HDA LAS CRUCES 2158, OBLATOS PONIENTE, 44700, Guadalajara, México",0
RESIDENCIAL AZALEAS,SERVIDOR PUBLIC,1425,45230,zapopan,20.619359,-103.4540669,ZERO_RESULTS,"SERVIDOR PUBLIC 1425, RESIDENCIAL AZALEAS, 45230, zapopan, México",1
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,20.7140427,-103.3175821,ZERO_RESULTS,"LISBOA 28, U H FOVISSSTE ESTADI, 44307, Guadalajara, México",1
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,20.6849705,-103.2719779,OK,"AV PATRIA 4177, VILLAS DE GADALUPE, 44720, Guadalajara, México",0
RANCHO NUEVO,CELERINO NAVARR,4135,44240,zapopan,20.7173252,-103.3226322,OK,"CELERINO NAVARR 4135, RANCHO NUEVO, 44240, zapopan, México",0
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,20.6245424,-103.385549,OK,"FRANCISCO MARCO 2616, EL CARMEN, 44980, Guadalajara, México",0
TETLAN,JOSE RAMOS,4342,44820,Guadalajara,20.6607945,-103.2718488,OK,"JOSE RAMOS 4342, TETLAN, 44820, Guadalajara, México",0
LINDAVISTA,ALLENDE,216,45169,zapopan,20.7225403,-103.3986393,OK,"ALLENDE 216, LINDAVISTA, 45169, zapopan, México",0
REAL QUINTAS DEL VALLE,CIRCUITO REAL S,0,45138,zapopan,20.7531188,-103.4361485,OK,"CIRCUITO REAL S 0, REAL QUINTAS DEL VALLE, 45138, zapopan, México",0
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,zapopan,20.7849879,-103.4749095,OK,"PRIVADA EMILIAN 28, REAL DE TESISTAN, 45200, zapopan, México",0
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,20.6282613,-103.4283633,OK,"AURORA BOREAL N 4170, RESID LAS ARBOLEDAS, 45070, zapopan, México",0
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,20.6782031,-103.3959828,OK,"TUCIDIDES 156, VALLARTA SAN JORGE, 44690, Guadalajara, México",0
JARDINES DE STA ISAB,STA MARTHA,3165,44300,Guadalajara,20.7124734,-103.309643,ZERO_RESULTS,"STA MARTHA 3165, JARDINES DE STA ISAB, 44300, Guadalajara, México",1
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,20.6225824,-103.3572848,ZERO_RESULTS,"CARLOS A CARRIL 527, 1RO DE MAYO 1A SECCI, 44970, Guadalajara, México",1
