colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada,aprox_por_cp
LAGOS D OTE ZONA TET,LICURGO,336,44770,Guadalajara,20.6727086,-103.2764487,ZERO_RESULTS,"LICURGO 336, LAGOS D OTE ZONA TET, 44770, Guadalajara, México",1
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,20.6963895,-103.2787599,OK,"CELIA PACHECO 3713, HELIODORO HERNANDEZ, 44720, Guadalajara, México",0
18 DE MARZO,NATIVIDAD MACIA,1326,44960,Guadalajara,20.6333595,-103.369541,OK,"NATIVIDAD MACIA 1326, 18 DE MARZO, 44960, Guadalajara, México",0
EJIDAL LOMA BONITA,PEDRO MORENO,3308,45085,zapopan,20.6318701,-103.4051802,OK,"PEDRO MORENO 3308, EJIDAL LOMA BONITA, 45085, zapopan, México",0
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,20.6582857,-103.2879025,OK,"MIGUEL BERNAL 3327, CANTARRANAS, 44829, Guadalajara, México",0
DEL FRESNO,CIPRES,1738,44900,Guadalajara,20.6579742,-103.3660875,OK,"CIPRES 1738, DEL FRESNO, 44900, Guadalajara, México",0
SAN MARCOS,CANTERA,819,44330,Guadalajara,20.6966917,-103.3150026,OK,"CANTERA 819, SAN MARCOS, 44330, Guadalajara, México",0
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,20.7460708,-103.3969295,OK,"BERROCAL 449, FRACC REAL DEL BOSQUE, 45130, zapopan, México",0
MESA DE LOS OCOTES,BETABEL,23,45189,zapopan,20.765936,-103.3434788,OK,"BETABEL 23, MESA DE LOS OCOTES, 45189, zapopan, México",0
PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,20.6255231,-103.3340945,OK,"FUNDICION 2131, PARQUE INDUST EL ALA, 44490, Guadalajara, México",0
FRACC JARDINES DE BELEN,TORONJA,41,45200,zapopan,20.8127107,-103.482546,OK,"TORONJA 41, FRACC JARDINES DE BELEN, 45200, zapopan, México",0
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,20.7097772,-103.319574,OK,"IGUALDAD 186, LA ESPERANZA, 44300, Guadalajara, México",0
MEZQUITAN COUNTRY,DIAGONAL NAJERA,1876,44260,Guadalajara,20.6923623,-103.3656108,OK,"DIAGONAL NAJERA 1876, MEZQUITAN COUNTRY, 44260, Guadalajara, México",0
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,20.6782031,-103.3959828,OK,"TUCIDIDES 156, VALLARTA SAN JORGE, 44690, Guadalajara, México",0
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,20.7069491,-103.4540669,OK,"MIGUEL MIRAMON 13, SAN JUAN DE OCOTAN, 45019, zapopan, México",0
TABACHINES,PASEO DE LOS AV,3101,45188,zapopan,20.7408232,-103.3687889,OK,"PASEO DE LOS AV 3101, TABACHINES, 45188, zapopan, México",0
TRANSITO,AV CIRCUNVALANC,479,44298,Guadalajara,20.705717,-103.3399585,ZERO_RESULTS,"AV CIRCUNVALANC 479, TRANSITO, 44298, Guadalajara, México",1
RESIDENCIAL TESISTAN,AV SAN MATEO,1115,45200,zapopan,20.7943588,-103.4682866,OK,"AV SAN MATEO 1115, RESIDENCIAL TESISTAN, 45200, zapopan, México",0
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,20.704908,-103.3332698,OK,"ROGELIO BACON 2280, INDEPENDENCIA, 44290, Guadalajara, México",0
REAL QUINTAS DEL VALLE,CIRCUITO REAL S,0,45138,zapopan,20.7531188,-103.4361485,OK,"CIRCUITO REAL S 0, REAL QUINTAS DEL VALLE, 45138, zapopan, México",0
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,20.7140427,-103.3175821,ZERO_RESULTS,"LISBOA 28, U H FOVISSSTE ESTADI, 44307, Guadalajara, México",1
VISTA HERMOSA,AV VISTA HERMO,3763,45189,zapopan,20.7595336,-103.3334617,OK,"AV VISTA HERMO 3763, VISTA HERMOSA, 45189, zapopan, México",0
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,20.6615108,-103.2837726,OK,"SALVADOR LOPEZ 1750, LA AURORA, 44790, Guadalajara, México",0
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,20.6282613,-103.4283633,OK,"AURORA BOREAL N 4170, RESID LAS ARBOLEDAS, 45070, zapopan, México",0
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,20.6611419,-103.2904612,OK,"AVELINO M PRESA 3335, SAN ANDRES, 44810, Guadalajara, México",0
OBLATOS PONIENTE,HACIENDA LA PUR,2415,44700,Guadalajara,20.6958496,-103.2980962,OK,"HACIENDA LA PUR 2415, OBLATOS PONIENTE, 44700, Guadalajara, México",0
