colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada,aprox_por_cp
COLINAS DE ATEMAJAC,AV AURELIO ORTE,1176,45170,zapopan,20.7208854,-103.3674014,OK,"AV AURELIO ORTE 1176, COLINAS DE ATEMAJAC, 45170, zapopan, México",0
VILLAS SAN IGNACIO,PABLO QUIROGA,215,45180,zapopan,20.724594,-103.3668962,OK,"PABLO QUIROGA 215, VILLAS SAN IGNACIO, 45180, zapopan, México",0
FRACC HACIENDA LAS PALOMAS,CALLE DEL AGUA,365,45200,zapopan,20.8045017,-103.471341,OK,"CALLE DEL AGUA 365, FRACC HACIENDA LAS PALOMAS, 45200, zapopan, México",0
OBREROS D L CONSTRUC,ABEDUL,274,44900,Guadalajara,20.6570961,-103.3668867,ZERO_RESULTS,"ABEDUL 274, OBREROS D L CONSTRUC, 44900, Guadalajara, México",1
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,20.6606171,-103.3015475,OK,"GOMEZ FARIAS 2319, SAN ANDRES, 44810, Guadalajara, México",0
LA HACIENDITA,SAN MARTIN,2341,45230,zapopan,20.614487,-103.4510511,OK,"SAN MARTIN 2341, LA HACIENDITA, 45230, zapopan, México",0
UNIDAD MEXICO,CDA QUERETARO,278,45120,zapopan,20.6804818,-103.403984,OK,"CDA QUERETARO 278, UNIDAD MEXICO, 45120, zapopan, México",0
BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,20.6446335,-103.3881998,OK,"FAUNA 2765, BOSQUES D L VICTORIA, 44540, Guadalajara, México",0
RESIDENCIAL AZALEAS,SERVIDOR PUBLIC,1425,45230,zapopan,20.619359,-103.4540669,ZERO_RESULTS,"SERVIDOR PUBLIC 1425, RESIDENCIAL AZALEAS, 45230, zapopan, México",1
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,20.6875675,-103.3729412,OK,"AVENIDA AMERICA 620, LADRON DE GUEVARA, 44600, Guadalajara, México",0
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,zapopan,20.655508,-103.4356686,OK,"MISION SAN PATR 350, RESIDENCIAL GUADALUP, 45030, zapopan, México",0
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,20.7021367,-103.3110864,OK,"PUERTO SOTO LA 2280, SAN VICENTE, 44330, Guadalajara, México",0
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,20.6800329,-103.3822859,OK,"AVENIDA MEXICO 2582, LADRON DE GUEVARA, 44600, Guadalajara, México",0
LA FLORESTA DEL COLLI,BOULEVARD PUERT,26,45116,zapopan,20.7155297,-103.4193903,OK,"BOULEVARD PUERT 26, LA FLORESTA DEL COLLI, 45116, zapopan, México",0
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,20.6508689,-103.4549679,OK,"GALEANA 1068, PARAISOS DEL COLLY, 45069, zapopan, México",0
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,20.6256839,-103.3666996,OK,"JOSE ARTEAGA 2985, ECHEVERRIA, 44970, Guadalajara, México",0
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,20.6615108,-103.2837726,OK,"SALVADOR LOPEZ 1750, LA AURORA, 44790, Guadalajara, México",0
EL ZAPOTE,TEZOZOMOC,4357,45050,zapopan,20.6546308,-103.415381,OK,"TEZOZOMOC 4357, EL ZAPOTE, 45050, zapopan, México",0
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,20.6724783,-103.3074779,OK,"FRANCISCO SARAB 235, PROGRESO, 44730, Guadalajara, México",0
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,20.6835307,-103.3103183,OK,"SANTO TOMAS 1786, TALPITA, 44719, Guadalajara, México",0
JARDINES D NVO MEXIC,SEXTA PTE,535,45138,zapopan,20.7693541,-103.453446,OK,"SEXTA PTE 535, JARDINES D NVO MEXIC, 45138, zapopan, México",0
TABACHINES,PASEO DE LOS CH,3040,45188,zapopan,20.7408232,-103.3687889,OK,"PASEO DE LOS CH 3040, TABACHINES, 45188, zapopan, México",0
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,zapopan,20.7361467,-103.3527111,ZERO_RESULTS,"PRIV LUIS G MON 337, VILLAS SAN IGNACIO, 45180, zapopan, México",1
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,20.6683939,-103.3633498,OK,"MEXICALLTZINGO 1944, AMERICANA, 44160, Guadalajara, México",0
OBLATOS,AV JUAN PABLO L,3165,44700,Guadalajara,20.6958496,-103.2980962,ZERO_RESULTS,"AV JUAN PABLO L 3165, OBLATOS, 44700, Guadalajara, México",1
LA AURORA,JARDINES DE BAB,20,44790,Guadalajara,20.6615108,-103.2837726,OK,"JARDINES DE BAB 20, LA AURORA, 44790, Guadalajara, México",0
RNDA DE PAZ,ALBANILES,543,44860,Guadalajara,20.6480281,-103.307817,OK,"ALBANILES 543, RNDA DE PAZ, 44860, Guadalajara, México",0
LA PALMITA,MANUEL GONZALEZ,518,45180,zapopan,20.7299998,-103.3587965,OK,"MANUEL GONZALEZ 518, LA PALMITA, 45180, zapopan, México",0
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,20.7529511,-103.4073257,OK,"AV TORREMOLINOS 3500, COLINAS DEL REY, 45130, zapopan, México",0
RINCONADA DL AUDITOR,ALBERTO CINTA,39,45180,zapopan,20.7367417,-103.3425667,OK,"ALBERTO CINTA 39, RINCONADA DL AUDITOR, 45180, zapopan, México",0
LA CAMPESINA,JOSE MARIA SARM,1488,44769,Guadalajara,20.682162,-103.2688117,OK,"JOSE MARIA SARM 1488, LA CAMPESINA, 44769, Guadalajara, México",0
MIGUEL HIDALGO,15 DE SEPTIEMBR,3017,45186,zapopan,20.748824,-103.3408841,OK,"15 DE SEPTIEMBR 3017, MIGUEL HIDALGO, 45186, zapopan, México",0
LOMAS DE POLANCO,JOSE CARRILLO,3528,44960,Guadalajara,20.6307928,-103.3795393,OK,"JOSE CARRILLO 3528, LOMAS DE POLANCO, 44960, Guadalajara, México",0
"FRACC, LOS MOLINOS",CTO OBSIDIANA,39,45200,zapopan,20.8476145,-103.4219418,OK,"CTO OBSIDIANA 39, FRACC, LOS MOLINOS, 45200, zapopan, México",0
NUEVO MEXICO,6 DE ENERO,3239,45138,zapopan,20.7576114,-103.4332169,OK,"6 DE ENERO 3239, NUEVO MEXICO, 45138, zapopan, México",0
BENITO JUAREZ,ADOLFO LOPEZ MA,4754,45199,zapopan,20.7313122,-103.3385042,OK,"ADOLFO LOPEZ MA 4754, BENITO JUAREZ, 45199, zapopan, México",0
FRACC PALERMO,MARINA,204,45200,zapopan,20.8156952,-103.4614959,OK,"MARINA 204, FRACC PALERMO, 45200, zapopan, México",0
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,20.7097772,-103.319574,OK,"IGUALDAD 186, LA ESPERANZA, 44300, Guadalajara, México",0
COUNTRY CLUB,AV JORGE ALVARE,1535,44610,Guadalajara,20.7021029,-103.367393,ZERO_RESULTS,"AV JORGE ALVARE 1535, COUNTRY CLUB, 44610, Guadalajara, México",1
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,20.7460708,-103.3969295,OK,"BERROCAL 449, FRACC REAL DEL BOSQUE, 45130, zapopan, México",0
