colonia,calle,No.Casa,C.P.,Ciudad,lat,lon,geo_status,direccion_consultada
JARDINES DE LA CRUZ,AV ISALA RAZA,2460,44950,Guadalajara,20.6349829,-103.3912074,OK,"AV ISALA RAZA 2460, JARDINES DE LA CRUZ, 44950, Guadalajara, México"
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,20.6372977,-103.3783132,OK,"ISLA ABACO 3086, RESIDENCIAL LA CRUZ, 44950, Guadalajara, México"
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,zapopan,20.7849879,-103.4749095,OK,"PRIVADA EMILIAN 28, REAL DE TESISTAN, 45200, zapopan, México"
MIGUEL HIDALGO,15 DE SEPTIEMBR,3017,45186,zapopan,20.748824,-103.3408841,OK,"15 DE SEPTIEMBR 3017, MIGUEL HIDALGO, 45186, zapopan, México"
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,20.7418207,-103.3153473,OK,"VOLCAN MAIPO 340, HUENTITAN EL BAJO, 44250, Guadalajara, México"
LOMAS DE MIRAMAR,PUERTO TAMPICO,80,45060,zapopan,20.6401759,-103.4491199,OK,"PUERTO TAMPICO 80, LOMAS DE MIRAMAR, 45060, zapopan, México"
SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,,,ZERO_RESULTS,"MELQUIADES CAMP 2289, SANTA ROSA, 44700, Guadalajara, México"
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,,,ZERO_RESULTS,"HACIENDA DEL CA 2275, BALCONES DE OBLATOS, 44720, Guadalajara, México"
MESA DE LOS OCOTES,PASEO DE LOS PI,3153,45189,zapopan,,,ZERO_RESULTS,"PASEO DE LOS PI 3153, MESA DE LOS OCOTES, 45189, zapopan, México"
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,20.7155528,-103.3156425,OK,"PRIV OPALO 17, BOSQUES D LA CANTERA, 44306, Guadalajara, México"
